dataset,family,config,is_finance,status,terminal_classification,n,m,density,density_regime,m_times_n,m_squared,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,break_reason
Basketball_temporal/2001,Basketball_coarse,A4,false,complete,SUCCESS,318,3405,0.033777751324325936,sparse_<0.05,1082790.0,11594025.0,0.45178699493408203,0.12504124641418457,0.06107282638549805,0.11253571510314941,0.0,exhausted
Basketball_temporal/2001,Basketball_coarse,A6,false,complete,SUCCESS,318,3405,0.033777751324325936,sparse_<0.05,1082790.0,11594025.0,2.7109155654907227,0.12736248970031738,0.06215977668762207,0.1129765510559082,2.253959894180298,exhausted
Basketball_temporal/2002,Basketball_coarse,A0,false,complete,SUCCESS,321,3505,0.034121884735202494,sparse_<0.05,1125105.0,12285025.0,0.1443190574645996,0.11576652526855469,1.6689300537109375e-06,0.0011899471282958984,0.0,phase_b_disabled
Basketball_temporal/2002,Basketball_coarse,A2,false,complete,SUCCESS,321,3505,0.034121884735202494,sparse_<0.05,1125105.0,12285025.0,0.32946228981018066,0.11582016944885254,0.06764459609985352,0.0014040470123291016,0.0,exhausted
Basketball_temporal/2002,Basketball_coarse,A4,false,complete,SUCCESS,321,3505,0.034121884735202494,sparse_<0.05,1125105.0,12285025.0,0.44599270820617676,0.11603808403015137,0.06742596626281738,0.11771273612976074,0.0,exhausted
Basketball_temporal/2002,Basketball_coarse,A6,false,complete,SUCCESS,321,3505,0.034121884735202494,sparse_<0.05,1125105.0,12285025.0,3.721022844314575,0.1149909496307373,0.06719708442687988,0.11718440055847168,3.2753794193267822,exhausted
Basketball_temporal/2003,Basketball_coarse,A0,false,complete,SUCCESS,327,3560,0.03339524586780736,sparse_<0.05,1164120.0,12673600.0,0.14913249015808105,0.12074971199035645,2.1457672119140625e-06,0.0011959075927734375,0.0,phase_b_disabled
Basketball_temporal/2003,Basketball_coarse,A2,false,complete,SUCCESS,327,3560,0.03339524586780736,sparse_<0.05,1164120.0,12673600.0,0.3624603748321533,0.1274726390838623,0.08078813552856445,0.0014789104461669922,0.0,exhausted
Basketball_temporal/2003,Basketball_coarse,A4,false,complete,SUCCESS,327,3560,0.03339524586780736,sparse_<0.05,1164120.0,12673600.0,0.5551548004150391,0.16498303413391113,0.07934784889221191,0.1259751319885254,0.0,exhausted
Basketball_temporal/2003,Basketball_coarse,A6,false,complete,SUCCESS,327,3560,0.03339524586780736,sparse_<0.05,1164120.0,12673600.0,3.002959966659546,0.11919736862182617,0.07744455337524414,0.12008380889892578,2.5366408824920654,exhausted
