dataset,family,config,config_hash,timestamp,status,n,m,density,total_edge_weight,removed_phaseA_count,removed_phaseA_weight,removed_final_count,removed_final_weight,normalized_removed_weight,restored_edge_count,mincut_attempts,mincut_accepted,mincut_gain,upset_simple,upset_ratio,upset_naive,permutation_distance_vs_p1,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,phase1_iterations,reinserted_per_pass,break_reason,terminal_classification
Basketball_temporal/1997,Basketball_coarse,R0_A4,712779aad638f619,1787631052.7572944,complete,305,3333,0.035946937014667814,52037.0,1232,5857.0,787,5857.0,0.11255452850856122,445,0,0,0.0,0.11255452850856122,0.5118884859958043,5857.0,0.12965918895599654,0.35835862159729004,0.13668227195739746,0.05722379684448242,0.0012841224670410156,0.0,948,[445],exhausted,
Basketball_temporal/1997,Basketball_coarse,R1_A4,712779aad638f619,1787631065.0452297,complete,305,3333,0.035946937014667814,52037.0,1232,5857.0,787,5857.0,0.11255452850856122,445,0,0,0.0,0.11249687722197667,0.5052438251029514,5854.0,0.12968075927523728,0.4254634380340576,0.1362626552581787,0.057445526123046875,0.0685124397277832,0.0,948,[445],exhausted,
Basketball_temporal/1997,Basketball_coarse,R2_A4,712779aad638f619,1787631079.1792247,complete,305,3333,0.035946937014667814,52037.0,1232,5857.0,787,5857.0,0.11255452850856122,445,0,0,0.0,0.11249687722197667,0.503928745818332,5854.0,0.12968075927523728,0.4690513610839844,0.1369152069091797,0.057236671447753906,0.11178302764892578,0.0,948,[445],exhausted,
Basketball_temporal/1997,Basketball_coarse,R3_A4,712779aad638f619,1787631094.6072147,complete,305,3333,0.035946937014667814,52037.0,1232,5857.0,787,5857.0,0.11255452850856122,445,0,0,0.0,0.11249687722197667,0.5025760371552229,5854.0,0.12968075927523728,0.537893533706665,0.1367042064666748,0.057115793228149414,0.18106913566589355,0.0,948,[445],exhausted,
Basketball_temporal/2000,Basketball_coarse,R0_A4,712779aad638f619,1787631053.1217716,complete,318,3475,0.03447215443525187,55092.0,1189,5183.0,742,5183.0,0.09407899513540986,447,0,0,0.0,0.09407899513540986,0.5192976220189989,5183.0,0.09953772592901217,0.3476998805999756,0.1294405460357666,0.06000065803527832,0.0013883113861083984,0.0,888,[447],exhausted,
Basketball_temporal/2000,Basketball_coarse,R1_A4,712779aad638f619,1787631065.4770575,complete,318,3475,0.03447215443525187,55092.0,1189,5183.0,742,5183.0,0.09407899513540986,447,0,0,0.0,0.09407899513540986,0.5122318982142939,5183.0,0.09953772592901217,0.41843676567077637,0.12966322898864746,0.06023597717285156,0.07199883460998535,0.0,888,[447],exhausted,
Basketball_temporal/2000,Basketball_coarse,R2_A4,712779aad638f619,1787631079.6550555,complete,318,3475,0.03447215443525187,55092.0,1189,5183.0,742,5183.0,0.09407899513540986,447,0,0,0.0,0.09407899513540986,0.5113405684614751,5183.0,0.09953772592901217,0.4612574577331543,0.1301279067993164,0.0598602294921875,0.1141974925994873,0.0,888,[447],exhausted,
Basketball_temporal/2000,Basketball_coarse,R3_A4,712779aad638f619,1787631095.1521623,complete,318,3475,0.03447215443525187,55092.0,1189,5183.0,742,5183.0,0.09407899513540986,447,0,0,0.0,0.09407899513540986,0.5105568808542484,5183.0,0.09953772592901217,0.5386366844177246,0.12977981567382812,0.05996346473693848,0.19174790382385254,0.0,888,[447],exhausted,
Basketball_temporal/2003,Basketball_coarse,R0_A4,712779aad638f619,1787631053.4756532,complete,327,3560,0.03339524586780736,54489.0,1297,5833.0,785,5833.0,0.10704912918203674,512,0,0,0.0,0.10704912918203674,0.5062924422416042,5833.0,0.10759648036622202,0.34440183639526367,0.11931991577148438,0.07700061798095703,0.0014033317565917969,0.0,919,[512],exhausted,
Basketball_temporal/2003,Basketball_coarse,R1_A4,712779aad638f619,1787631065.9019833,complete,327,3560,0.03339524586780736,54489.0,1297,5833.0,785,5833.0,0.10704912918203674,512,0,0,0.0,0.10699407219805833,0.5013382602389865,5830.0,0.10761524174030505,0.415665864944458,0.11874651908874512,0.07683181762695312,0.07368636131286621,0.0,919,[512],exhausted,
Basketball_temporal/2003,Basketball_coarse,R2_A4,712779aad638f619,1787631080.123091,complete,327,3560,0.03339524586780736,54489.0,1297,5833.0,785,5833.0,0.10704912918203674,512,0,0,0.0,0.10699407219805833,0.500897334106028,5830.0,0.10761524174030505,0.46352076530456543,0.11915946006774902,0.07700109481811523,0.12032032012939453,0.0,919,[512],exhausted,
Basketball_temporal/2003,Basketball_coarse,R3_A4,712779aad638f619,1787631095.697824,complete,327,3560,0.03339524586780736,54489.0,1297,5833.0,785,5833.0,0.10704912918203674,512,0,0,0.0,0.10699407219805833,0.5003724253587118,5830.0,0.10761524174030505,0.5368764400482178,0.11905765533447266,0.07704830169677734,0.1936788558959961,0.0,919,[512],exhausted,
Basketball_temporal/2006,Basketball_coarse,R0_A4,712779aad638f619,1787631053.8262556,complete,334,3695,0.03322184459909011,55402.0,1312,6106.0,798,6106.0,0.11021262770297101,514,0,0,0.0,0.11021262770297101,0.5244518797758679,6106.0,0.12378845911780044,0.3986320495605469,0.14356517791748047,0.08093953132629395,0.0014600753784179688,0.0,942,[514],exhausted,
Basketball_temporal/2006,Basketball_coarse,R1_A4,712779aad638f619,1787631066.3241136,complete,334,3695,0.03322184459909011,55402.0,1312,6106.0,798,6106.0,0.11021262770297101,514,0,0,0.0,0.11012237825349265,0.5193223622524898,6101.0,0.12380644117171064,0.47188401222229004,0.14305782318115234,0.08113479614257812,0.07548284530639648,0.0,942,[514],exhausted,
Basketball_temporal/2006,Basketball_coarse,R2_A4,712779aad638f619,1787631080.593422,complete,334,3695,0.03322184459909011,55402.0,1312,6106.0,798,6106.0,0.11021262770297101,514,0,0,0.0,0.11012237825349265,0.5184200861286395,6101.0,0.12380644117171064,0.5166409015655518,0.14394092559814453,0.08080720901489258,0.1195211410522461,0.0,942,[514],exhausted,
Basketball_temporal/2006,Basketball_coarse,R3_A4,712779aad638f619,1787631096.241764,complete,334,3695,0.03322184459909011,55402.0,1312,6106.0,798,6106.0,0.11021262770297101,514,0,0,0.0,0.11012237825349265,0.5175996825159723,6101.0,0.12380644117171064,0.5884137153625488,0.14402484893798828,0.08122682571411133,0.19040966033935547,0.0,942,[514],exhausted,
Basketball_temporal/2009,Basketball_coarse,R0_A4,712779aad638f619,1787631054.2310333,complete,347,4155,0.034607119654844996,61946.0,1424,6309.0,902,6309.0,0.10184676976721661,522,0,0,0.0,0.10184676976721661,0.484777546401147,6309.0,0.10189735303426563,0.49057435989379883,0.1848282814025879,0.08687257766723633,0.0016319751739501953,0.0,1039,[522],exhausted,
Basketball_temporal/2009,Basketball_coarse,R1_A4,712779aad638f619,1787631066.80245,complete,347,4155,0.034607119654844996,61946.0,1424,6309.0,902,6309.0,0.10184676976721661,522,0,0,0.0,0.10184676976721661,0.47952179206476003,6309.0,0.10189735303426563,0.5690605640411377,0.18513941764831543,0.08711528778076172,0.07928657531738281,0.0,1039,[522],exhausted,
