baseline,metric,scope,family,n,wins,ties,losses,mean_delta,median_delta,ci_lo,ci_hi,ci_excludes_zero
SVD_NRS,upset_simple,per_family,Faculty,3,3,0,0,-0.2006741613149643,-0.15282392501831052,-0.3439943045377732,-0.1052042543888092,True
SVD_NRS,upset_simple,per_family,Football_coarse,6,4,1,1,-0.06977699200312297,-0.060680001974105835,-0.12838741814096769,-0.011849080274502443,True
SVD_NRS,upset_simple,per_family,Football_finer,6,1,1,4,0.12450243035952248,0.14545455574989313,0.036258248736461,0.20673655470212302,True
SVD_NRS,upset_simple,per_family,Halo,1,1,0,0,-0.5521601676940917,-0.5521601676940917,-0.5521601676940917,-0.5521601676940917,True
SVD_NRS,upset_naive,per_dataset_all,ALL,77,40,2,35,0.0017628745889508874,-0.0062111616134643,-0.011774597737405983,0.016543741740721766,False
SVD_NRS,upset_naive,per_family,Animal,1,1,0,0,-0.0377358496189118,-0.0377358496189118,-0.0377358496189118,-0.0377358496189118,True
SVD_NRS,upset_naive,per_family,Basketball_coarse,30,30,0,0,-0.06006408433119457,-0.06072017550468445,-0.06234965031345686,-0.05788454331457618,True
SVD_NRS,upset_naive,per_family,Basketball_finer,30,0,0,30,0.07272857427597046,0.07288766652345663,0.06957576628774403,0.07608221759398778,True
SVD_NRS,upset_naive,per_family,Faculty,3,3,0,0,-0.05016854032874107,-0.038205981254577595,-0.0859985761344433,-0.0263010635972023,True
SVD_NRS,upset_naive,per_family,Football_coarse,6,4,1,1,-0.017444248000780736,-0.015170000493526459,-0.03209685453524193,-0.0029622700686256064,True
SVD_NRS,upset_naive,per_family,Football_finer,6,1,1,4,0.031125607589880654,0.0363636389374733,0.00906456218411527,0.05168413867553079,True
SVD_NRS,upset_naive,per_family,Halo,1,1,0,0,-0.13804004192352298,-0.13804004192352298,-0.13804004192352298,-0.13804004192352298,True
SVD_NRS,upset_ratio,per_dataset_all,ALL,77,72,0,5,-0.1717335316461402,-0.09521853923797607,-0.20369531988081607,-0.14177659363280257,True
SVD_NRS,upset_ratio,per_family,Animal,1,1,0,0,-0.01729738712310791,-0.01729738712310791,-0.01729738712310791,-0.01729738712310791,True
SVD_NRS,upset_ratio,per_family,Basketball_coarse,30,30,0,0,-0.07210041681925455,-0.07019200921058655,-0.07825743267933527,-0.0665624588727951,True
SVD_NRS,upset_ratio,per_family,Basketball_finer,30,30,0,0,-0.3393890656530857,-0.3380008935928345,-0.3449265934651097,-0.33442433896784984,True
SVD_NRS,upset_ratio,per_family,Faculty,3,3,0,0,-0.1598672072092692,-0.15270817279815674,-0.20825284719467163,-0.11864060163497925,True
SVD_NRS,upset_ratio,per_family,Football_coarse,6,3,0,3,-0.021889617045720417,-0.011296838521957397,-0.05162771542867025,0.007099149872859261,False
SVD_NRS,upset_ratio,per_family,Football_finer,6,4,0,2,-0.008153679470221184,-0.010373622179031358,-0.022532068192958794,0.006935742994149521,False
SVD_NRS,upset_ratio,per_family,Halo,1,1,0,0,-0.20163867473602282,-0.20163867473602282,-0.20163867473602282,-0.20163867473602282,True
btl,upset_simple,per_dataset_all,ALL,77,73,0,4,-0.1968164969574321,-0.207151973247528,-0.21835955831331091,-0.17371009825789313,True
btl,upset_simple,per_family,Animal,1,1,0,0,-0.07547169923782354,-0.07547169923782354,-0.07547169923782354,-0.07547169923782354,True
btl,upset_simple,per_family,Basketball_coarse,30,30,0,0,-0.2646070138613383,-0.27947196662425994,-0.28185192485153676,-0.24608566167453924,True
btl,upset_simple,per_family,Basketball_finer,30,30,0,0,-0.20125089287757875,-0.20134566426277167,-0.21797573651870092,-0.18489846518635747,True
btl,upset_simple,per_family,Faculty,3,3,0,0,-0.07637457052866617,-0.07109634280204771,-0.09893390834331511,-0.05909346044063568,True
btl,upset_simple,per_family,Football_coarse,6,6,0,0,-0.11400055388609574,-0.11168153584003448,-0.17487803138792532,-0.05395176211992897,True
btl,upset_simple,per_family,Football_finer,6,2,0,4,0.008778174718221047,0.0569697141647339,-0.08355064789454142,0.08891175687313078,False
btl,upset_simple,per_family,Halo,1,1,0,0,-0.24320337772369394,-0.24320337772369394,-0.24320337772369394,-0.24320337772369394,True
btl,upset_naive,per_dataset_all,ALL,77,73,0,4,-0.049204124239358035,-0.051787993311882,-0.054589889578327756,-0.043427524564473276,True
btl,upset_naive,per_family,Animal,1,1,0,0,-0.0188679248094559,-0.0188679248094559,-0.0188679248094559,-0.0188679248094559,True
btl,upset_naive,per_family,Basketball_coarse,30,30,0,0,-0.06615175346533458,-0.069867991656065,-0.0704629812128842,-0.06152141541863483,True
btl,upset_naive,per_family,Basketball_finer,30,30,0,0,-0.05031272321939469,-0.050336416065692946,-0.05449393412967522,-0.04622461629658937,True
btl,upset_naive,per_family,Faculty,3,3,0,0,-0.019093642632166535,-0.017774085700511894,-0.024733477085828806,-0.014773365110158906,True
btl,upset_naive,per_family,Football_coarse,6,6,0,0,-0.028500138471523908,-0.027920383960008607,-0.043719507846981275,-0.0134879405299822,True
btl,upset_naive,per_family,Football_finer,6,2,0,4,0.0021945436795552573,0.014242428541183447,-0.020887661973635365,0.02222793921828269,False
btl,upset_naive,per_family,Halo,1,1,0,0,-0.060800844430923484,-0.060800844430923484,-0.060800844430923484,-0.060800844430923484,True
btl,upset_ratio,per_dataset_all,ALL,77,1,0,76,0.08404230286984088,0.08223094940185549,0.07171026643190243,0.09647829995112638,True
btl,upset_ratio,per_family,Animal,1,0,0,1,0.17773219794034958,0.17773219794034958,0.17773219794034958,0.17773219794034958,True
